"diet","hour","emmean","SE","df","lower.CL","upper.CL"
"NR","0",7.14404761904718,0.490471119598832,623.967739398515,6.18087359966961,8.10722163842475
"PR","0",7.86428571428592,0.490471119598846,623.967739398486,6.90111169490832,8.82745973366352
"NR","1",4.29285714285711,0.490471119598843,623.967739398372,3.32968312347952,5.2560311622347
"PR","1",4.56666666666663,0.490471119598843,623.967739398344,3.60349264728904,5.52984068604422
"NR","2",5.60238095238092,0.490471119598844,623.967739398401,4.63920693300333,6.56555497175851
"PR","2",6.58452380952378,0.490471119598843,623.967739398344,5.62134979014618,7.54769782890137
"NR","3",6.54047619047616,0.490471119598844,623.967739398344,5.57730217109856,7.50365020985375
"PR","3",5.34761904761901,0.490471119598842,623.967739398372,4.38444502824142,6.3107930669966
"NR","4",5.91904761904759,0.490471119598844,623.967739398401,4.95587359967,6.88222163842518
"PR","4",4.38095238095235,0.490471119598843,623.967739398372,3.41777836157475,5.34412640032994
"NR","5",4.79166666666664,0.490471119598845,623.967739398372,3.82849264728904,5.75484068604423
"PR","5",4.36547619047616,0.490471119598844,623.967739398344,3.40230217109856,5.32865020985375
"NR","6",3.54642857142854,0.490471119598846,623.967739398344,2.58325455205094,4.50960259080614
"PR","6",3.20119047619044,0.490471119598847,623.967739398316,2.23801645681284,4.16436449556804
"NR","7",2.84880952380949,0.490471119598844,623.967739398372,1.8856355044319,3.81198354318709
"PR","7",2.49047619047616,0.490471119598846,623.967739398344,1.52730217109856,3.45365020985376
"NR","8",3.82738095238092,0.490471119598844,623.967739398372,2.86420693300332,4.79055497175851
"PR","8",2.99880952380949,0.490471119598842,623.967739398401,2.0356355044319,3.96198354318708
"NR","9",3.53928571428568,0.490471119598846,623.967739398372,2.57611169490808,4.50245973366328
"PR","9",3.94761904761902,0.490471119598844,623.967739398316,2.98444502824142,4.91079306699661
"NR","10",4.66904761904759,0.490471119598845,623.967739398372,3.70587359967,5.63222163842519
"PR","10",4.12261904761901,0.490471119598847,623.967739398287,3.15944502824141,5.08579306699661
"NR","11",6.54642857142854,0.490471119598846,623.967739398372,5.58325455205094,7.50960259080614
"PR","11",5.7583333333333,0.490471119598846,623.967739398316,4.7951593139557,6.7215073527109
"NR","12",10.1345238095238,0.490471119598844,623.967739398401,9.17134979014619,11.0976978289014
"PR","12",9.77738095238091,0.490471119598845,623.967739398401,8.81420693300332,10.7405549717585
"NR","13",15.0857142857143,0.490471119598845,623.967739398372,14.1225402663367,16.0488883050919
"PR","13",14.7309523809523,0.490471119598848,623.967739398344,13.7677783615747,15.6941264003299
"NR","14",17.9023809523809,0.490471119598845,623.967739398372,16.9392069330033,18.8655549717585
"PR","14",16.4583333333333,0.490471119598844,623.967739398401,15.4951593139557,17.4215073527109
"NR","15",17.3095238095238,0.490471119598845,623.967739398344,16.3463497901462,18.2726978289014
"PR","15",16.6630952380952,0.490471119598844,623.967739398344,15.6999212187176,17.6262692574728
"NR","16",16.7166666666666,0.490471119598846,623.967739398372,15.753492647289,17.6798406860442
"PR","16",15.6738095238095,0.490471119598843,623.967739398372,14.7106355044319,16.6369835431871
"NR","17",15.0107142857142,0.490471119598845,623.967739398344,14.0475402663366,15.9738883050918
"PR","17",13.7702380952381,0.490471119598847,623.967739398372,12.8070640758605,14.7334121146157
"NR","18",12.672619047619,0.490471119598845,623.967739398344,11.7094450282414,13.6357930669966
"PR","18",13.3797619047619,0.490471119598842,623.967739398429,12.4165878853843,14.3429359241395
"NR","19",8.90952380952377,0.490471119598845,623.967739398372,7.94634979014617,9.87269782890136
"PR","19",9.84999999999997,0.490471119598845,623.967739398372,8.88682598062237,10.8131740193776
"NR","20",7.2630952380952,0.490471119598846,623.967739398344,6.29992121871761,8.2262692574728
"PR","20",8.51547619047616,0.490471119598844,623.967739398372,7.55230217109856,9.47865020985375
"NR","21",6.75476190476188,0.490471119598845,623.967739398344,5.79158788538428,7.71793592413947
"PR","21",7.19999999999997,0.490471119598848,623.967739398316,6.23682598062237,8.16317401937757
"NR","22",7.64047619047616,0.490471119598844,623.967739398344,6.67730217109857,8.60365020985376
"PR","22",7.28571428571425,0.490471119598844,623.967739398372,6.32254026633666,8.24888830509185
"NR","23",10.4452380952381,0.490471119598845,623.967739398372,9.48206407586046,11.4084121146157
"PR","23",10.15,0.490471119598845,623.967739398344,9.18682598062238,11.1131740193776
