fedfile,mouse,diet,mode,sex ,order
FED001_050322_00.CSV,FEDXA01,NR,FF,M,2
FED001_051022_04.CSV,FEDXA01,NR,FR1,M,2
FED001_051122_01.CSV,FEDXA01,NR,FR1R,M,2
FED002_050322_00.CSV,FEDXA02,NR,FF,M,2
FED002_051022_02.CSV,FEDXA02,NR,FR1,M,2
FED002_051122_03.CSV,FEDXA02,NR,FR1R,M,2
FED003_050322_00.CSV,FEDXA03,NR,FF,M,2
FED003_051022_03.CSV,FEDXA03,NR,FR1,M,2
FED003_051122_02.CSV,FEDXA03,NR,FR1R,M,2
FED004_050322_00.CSV,FEDXA04,NR,FF,M,2
FED004_051022_04.CSV,FEDXA04,NR,FR1,M,2
FED004_051122_01.CSV,FEDXA04,NR,FR1R,M,2
FED005_050322_00.CSV,FEDXA05,NR,FF,M,2
FED005_051022_03.CSV,FEDXA05,NR,FR1,M,2
FED005_051122_02.CSV,FEDXA05,NR,FR1R,M,2
FED006_050322_00 MERGED.CSV,FEDXA06,NR,FF,M,2
FED006_051022_02.CSV,FEDXA06,NR,FR1,M,2
FED006_051122_03.CSV,FEDXA06,NR,FR1R,M,2
